korean_word,note,pos,english_word,translational_equivalence,korean_source1,korean_source2,english_source1,english_source2,cat3_korean,cat3_english,cat13_korean,cat13_english
먹먹하다,feeling lump in one's throat because of being moved / being sad,adjective,,0,Rhee_Ko_2013,,,,Negative,,슬픔/비탄 (Sadness/Grief),
고심하다,"take pains, rack one's brains",verb,,0,,,,,Negative,,중립/인지 (Neutral/Cognitive),
꺼림칙하다,"Feeling uncomfortable, reluctant, and uneasy",adjective,,0,,,,,Negative,,두려움/불안 (Fear/Anxiety),
답답함,"(2) The feeling of unsatisfaction and upsetness due to someone's attitude, behavior, or situation not meeting one's expectation the difficulty to make it better",noun,,0,,,,,Negative,,분노/짜증 (Anger/Irritation),
열애,passionate love,noun,,0,Park_Min_2005,,,,Positive,,사랑/애정 (Love/Affection),
안쓰러움,(1) The feeling of uneasiness about getting help from and imposing on someone who is younger or weaker. (2) Bad feeling due to someone's situation or circumstances being pitiful.,noun,,0,,,,,Negative,,슬픔/비탄 (Sadness/Grief),
경애,respect and love,noun,,0,,,,,Positive,,존경/감탄 (Admiration/Gratitude),
얕잡아보다,look down on,verb,,0,KOTE,,,,Negative,,혐오/경멸 (Disgust/Contempt),
답답함,(1) physical; a feeling of discomfort as if the chest or stomach is clogged up,noun,,0,,,,,Negative,,분노/짜증 (Anger/Irritation),
속타다,be in a stew (be worrie and troubled),adjective,,0,Park_Min_2005,,,,Negative,,슬픔/비탄 (Sadness/Grief),
꺼림직하다,"Feeling uncomfortable, reluctant, and uneasy",adjective,,0,Park_Min_2005,,,,Negative,,두려움/불안 (Fear/Anxiety),
간질간질하다,"strong, persistent, and irresistable desire to do something",adjective,,0,,,,,Positive,,기쁨 (Joy/Happiness),
서운함,"The feeling of sadness and disappointment due to one's expectation not being met, especially in a close interpersonal relationship",noun,,0,,,,,Negative,,중립/인지 (Neutral/Cognitive),
괘씸함,The feeling of displeasure and mortification due to someone's behavior or remark being untruthful or rude,noun,,0,,,,,Negative,,분노/짜증 (Anger/Irritation),
께름직하다,"Feeling uncomfortable, reluctant, and uneasy to a greater degree",adjective,,0,Park_Min_2005,,,,Negative,,두려움/불안 (Fear/Anxiety),
찡하다,be choked up,verb,,0,Park_Min_2005,,,,Positive,,존경/감탄 (Admiration/Gratitude),
찔리다,feel pangs of guilt,verb,,0,,,,,Negative,,놀라움/당황 (Surprise/Bewilderment),
아쉽다,(1) Sorry and sad due to a lingering attachment. (2) Unsatisfied because what one needs is missing or deficient.,adjective,,0,Park_Min_2005,,,,Negative,,슬픔/비탄 (Sadness/Grief),
야속함,"The bad feeling, sadness, and disappointment due to someone or someone's behavior",noun,,0,,,,,Negative,,중립/인지 (Neutral/Cognitive),
답답하다,"(2) Feeling unsatisfied and upset because someone's attitude, behavior, or situation does not meet one's expectation and one cannot make it better",adjective,,0,,,,,Negative,,분노/짜증 (Anger/Irritation),
아쉬움,(1) The feeling of sorriness and sadness due to a lingering attachment. (2) The feeling of unsatisfaction because what one needs is missing or deficient.,noun,,0,KOTE,,,,Negative,,슬픔/비탄 (Sadness/Grief),
개의치않다,don't mind,verb,,0,Rhee_Ko_2013,,,,Neutral,,중립/인지 (Neutral/Cognitive),
경애하다,respect and love,verb,,0,Park_Min_2005,KOTE,,,Positive,,존경/감탄 (Admiration/Gratitude),
볼만하다,worth seeing,adjective,,0,Rhee_Ko_2013,,,,Positive,,기쁨 (Joy/Happiness),
낭패스럽다,Feeling embarrassed as something goes awry or fall short of one's expectation,adjective,,0,Park_Min_2005,,,,Negative,,놀라움/당황 (Surprise/Bewilderment),
노파심,excessive solicitude for another´s welfare,noun,,0,Park_Min_2005,,,,Negative,,두려움/불안 (Fear/Anxiety),
야속하다,"Feeling bad, sad, and disappointed of someone or someone's behavior",adjective,,0,Park_Min_2005,,,,Negative,,중립/인지 (Neutral/Cognitive),
노심초사,being on pins and needles,noun,,0,,,,,Negative,,두려움/불안 (Fear/Anxiety),
먹먹함,lump in one's throat,noun,,0,,,,,Negative,,슬픔/비탄 (Sadness/Grief),
이끌리다,"(1) be led, be guided to",verb,,0,Rhee_Ko_2013,,,,Negative,,사랑/애정 (Love/Affection),
낭패,Feeling of embarrassment as something goes awry or falls short of one's expectations,noun,,0,,,,,Negative,,놀라움/당황 (Surprise/Bewilderment),
기특함,"The state of someone's remark or behavior being surprising, good, lovable, and deserving to be boasted",noun,,0,KOTE,,,,Positive,,중립/인지 (Neutral/Cognitive),
힘내다,cheer up,verb,,0,Rhee_Ko_2013,,,,Positive,,자부심/자신감 (Pride/Confidence),
섭섭하다,(1) sad and disappointing. (2) feeling sorry about someone or something leaving or disappearing.,adjective,,0,Park_Min_2005,,,,Negative,,중립/인지 (Neutral/Cognitive),
이끌리다,"(2) be attracted to, be drawn to",verb,,0,Rhee_Ko_2013,,,,Negative,,사랑/애정 (Love/Affection),
기특한,"Someone's remark or behavior being surprising, good, lovable, and deserving to be boasted",adjective,,0,,,,,Positive,,중립/인지 (Neutral/Cognitive),
애련,sad love,noun,,0,Park_Min_2005,,,,Negative,,슬픔/비탄 (Sadness/Grief),
노심초사하다,be on pins and needles,verb,,0,Park_Min_2005,,,,Negative,,두려움/불안 (Fear/Anxiety),
싫다,"dislike' is closer to '싫어하다' than '싫다', but it seems like there is no direct translation in English to correctly (in POS and also in meaning) describe '싫다' that is different from '싫어하다'. ",adjective,,0,Park_Min_2005,,,,Negative,,혐오/경멸 (Disgust/Contempt),
섭섭함,(1) sadness and disappointment (2) the feeling of sorriness about someone or something leaving or disappearing.,noun,,0,,,,,Negative,,중립/인지 (Neutral/Cognitive),
울컥하다,be choked up,verb,,0,Rhee_Ko_2013,,,,Negative,,슬픔/비탄 (Sadness/Grief),
욱하다,"be flared up, lose one's temper",verb,,0,Rhee_Ko_2013,,,,Negative,,분노/짜증 (Anger/Irritation),
답답하다,(1) physical; feeling discomfort as if the chest or stomach is clogged up,adjective,,0,,,,,Negative,,분노/짜증 (Anger/Irritation),
서운하다,"sad and disappointing because one's expectation is not met, especially in a close interpersonal relationship",adjective,,0,Park_Min_2005,,,,Negative,,중립/인지 (Neutral/Cognitive),
짝사랑,unrequited love,noun,,0,,,,,Negative,,사랑/애정 (Love/Affection),
안쓰럽다,(1) Feeling uneasy and sorry about getting help from and imposing on someone who is younger or weaker. (2) Feeling bad because someone's situation or circumstances are pitiful.,adjective,,0,Park_Min_2005,,,,Negative,,슬픔/비탄 (Sadness/Grief),
짝사랑하다,be in unrequited love,verb,,0,Park_Min_2005,,,,Negative,,사랑/애정 (Love/Affection),
경외하다,"be in awe of, stand in awe of",verb,,0,Park_Min_2005,,,,Positive,,존경/감탄 (Admiration/Gratitude),
괘씸하다,Feeling displeased and mortified on someone's behavior or remark being untruthful or rude,adjective,,0,,,,,Negative,,분노/짜증 (Anger/Irritation),
망극하다,"feeling great grief because a bad thing has happened to his/her king, parents, or friend, etc.",adjective,,0,Rhee_Ko_2013,,,,Negative,,중립/인지 (Neutral/Cognitive),
기고만장하다,"go to one's head, be in one’s glory, be puffed up",adjective,,0,Park_Min_2005,,,,Negative,,자부심/자신감 (Pride/Confidence),
질리다,turn pale,verb,,0,,,,,Negative,,혐오/경멸 (Disgust/Contempt),
야위다,become thin,verb,,0,KOTE,,,,Negative,,슬픔/비탄 (Sadness/Grief),
자책하다,blame onself,verb,,0,Park_Min_2005,,,,Negative,,수치/죄책감 (Shame/Guilt),
단념,,noun,abandonment,1,KOTE,,,,Negative,Negative,중립/인지 (Neutral/Cognitive),슬픔/비탄 (Sadness/Grief)
멋쩍다,,adjective,abashed,1,Park_Min_2005,,,,Negative,Negative,놀라움/당황 (Surprise/Bewilderment),수치/죄책감 (Shame/Guilt)
겸연쩍다,,adjective,abashed,1,Park_Min_2005,,,,Negative,Negative,수치/죄책감 (Shame/Guilt),수치/죄책감 (Shame/Guilt)
무안하다,,adjective,abashed,1,Park_Min_2005,,,,Negative,Negative,수치/죄책감 (Shame/Guilt),수치/죄책감 (Shame/Guilt)
쑥스럽다,,adjective,abashed,1,Park_Min_2005,,,,Negative,Negative,수치/죄책감 (Shame/Guilt),수치/죄책감 (Shame/Guilt)
무색하다,,adjective,abashed,1,Park_Min_2005,,,,Negative,Negative,수치/죄책감 (Shame/Guilt),수치/죄책감 (Shame/Guilt)
혐오하다,,verb,abhor,1,Park_Min_2005,,,,Negative,Negative,혐오/경멸 (Disgust/Contempt),혐오/경멸 (Disgust/Contempt)
혐오,,noun,abhorrence,1,KOTE,,,,Negative,Negative,혐오/경멸 (Disgust/Contempt),혐오/경멸 (Disgust/Contempt)
