english_word,category
abandonment,Negative
abashed,Negative
abhor,Negative
abhorrence,Negative
abhorrent,Negative
abrupt,Negative
abruptness,Negative
absentminded,Neutral
absorbed,Neutral
absorbing,Neutral
absurd,Neutral
absurdity,Neutral
absurdness,Neutral
acceptance,Positive
accepted,Positive
accepting,Positive
accuse,Negative
accused,Negative
accusing,Negative
ache,Negative
achieve,Positive
achievement,Positive
aching,Negative
active,Neutral
admiration,Positive
admire,Positive
admiring,Positive
adorable,Positive
adoration,Positive
adore,Positive
adoring,Positive
affected,Neutral
affection,Positive
affectionate,Positive
afraid,Negative
aggravating,Negative
aggressive,Negative
agitated,Negative
agitation,Negative
agonize,Negative
agonizing,Negative
agony,Negative
agreeable,Positive
agreeableness,Positive
alarm,Negative
alarmed,Negative
alarming,Negative
alert,Neutral
alertness,Neutral
amazed,Positive
amazement,Positive
amazing,Positive
ample,Positive
amused,Positive
amusement,Positive
amusing,Positive
anger,Negative
angry,Negative
anguish,Negative
anguished,Negative
animosity,Negative
annoyance,Negative
annoyed,Negative
annoying,Negative
antagonism,Negative
antagonize,Negative
anticipate,Positive
antipathy,Negative
anxiety,Negative
anxious,Negative
anxiousness,Negative
apathetic,Negative
apathy,Negative
apologetic,Neutral
apology,Neutral
appalled,Negative
appalling,Negative
appreciate,Positive
appreciating,Positive
appreciation,Positive
apprehend,Neutral
apprehension,Negative
apprehensive,Negative
approval,Positive
approve,Positive
approving,Positive
ardent,Positive
arduous,Neutral
argumentative,Negative
arrogance,Negative
arrogant,Negative
ashamed,Negative
aspire,Positive
aspiring,Positive
assessing,Neutral
assessment,Neutral
assured,Positive
assuring,Positive
astonished,Positive
astonishment,Positive
astounded,Positive
astounding,Positive
astoundment,Positive
astringent,Neutral
attached,Positive
attachment,Positive
attack,Neutral
attacked,Neutral
attainment,Positive
attracted,Positive
attracting,Positive
attraction,Positive
avarice,Neutral
avaricious,Neutral
aversion,Negative
avoid,Negative
aware,Neutral
awe,Neutral
awe-struck,Neutral
awe-struckness,Neutral
awesome,Positive
awkward,Negative
awkwardness,Negative
bad-tempered,Negative
baffled,Negative
bafflement,Negative
baffling,Negative
