korean_word,category
가련,Negative
가련하다,Negative
가소로움,Negative
가소롭다,Negative
가슴 시린,Negative
가여움,Negative
가엾다,Negative
가증스러움,Negative
가증스럽다,Negative
가책,Negative
가혹하다,Negative
가혹함,Negative
각별하다,Positive
각성도,Neutral
간절하다,Neutral
간절함,Neutral
간질간질하다,Positive
갇힌,Negative
갈등하는,Negative
갈등하다,Negative
갈망,Neutral
갈망하는,Neutral
갈망하다,Neutral
감개무량하다,Positive
감동,Positive
감동하다,Positive
감동한,Positive
감명,Positive
감명받다,Positive
감미로움,Positive
감미롭다,Positive
감복,Positive
감복하는,Positive
감복하다,Positive
감사,Positive
감사하는,Positive
감사하다,Positive
감상,Neutral
감상적인,Neutral
감정,Neutral
감정하다,Neutral
감탄,Positive
감탄하는,Positive
감탄하다,Positive
감흥,Positive
갑작스러움,Neutral
갑작스럽다,Neutral
강력한,Positive
강박,Negative
강박적인,Negative
개의치않다,Neutral
개의하다,Neutral
개탄,Neutral
개탄스럽다,Neutral
개탄하다,Neutral
객관적이다,Neutral
객관적임,Neutral
거들먹거리는,Negative
거뜬하다,Positive
거뜬함,Positive
거리낌,Negative
거만,Negative
거부,Negative
거부감,Negative
거북하다,Negative
거북함,Negative
거슬리는,Negative
거슬리다,Negative
거슬림,Negative
거절된,Negative
거짓,Negative
거짓말,Negative
거짓말하는,Negative
걱정,Negative
걱정되는,Negative
걱정하는,Negative
걱정하다,Negative
겁,Negative
겁나다,Negative
겁내는,Negative
겁내다,Negative
겁먹은,Negative
겁에 질린,Negative
겁이 많은,Negative
겁쟁이,Negative
격노,Negative
격노하다,Negative
격동,Neutral
격동되다,Neutral
격려,Positive
격분,Negative
격분하다,Negative
격분한,Negative
격앙,Negative
격앙되다,Negative
격앙하다,Negative
격양,Negative
격양되다,Negative
격양하다,Negative
격정,Neutral
격정적인,Neutral
격하다,Neutral
결단,Positive
결례,Negative
결심,Positive
결연하다,Positive
결연함,Positive
겸손하다,Positive
겸연쩍다,Negative
경계,Negative
경계하는,Negative
경계하다,Negative
경멸,Negative
경멸하다,Negative
경악,Negative
경악하다,Negative
경악한,Negative
경애,Positive
경애하다,Positive
경외감,Positive
경외하다,Positive
경이로워하다,Positive
경이롭다,Positive
경청하는,Positive
경쾌,Positive
경쾌하다,Positive
경탄,Positive
경탄하는,Positive
경탄하다,Positive
고뇌,Negative
고뇌하는,Negative
고뇌하다,Negative
고단하다,Negative
고단함,Negative
고달프다,Negative
고달픔,Negative
고대하다,Positive
고독,Negative
고독하다,Negative
고되다,Negative
고됨,Negative
고립감,Negative
고마움,Positive
고마워하다,Positive
고맙다,Positive
고무되다,Positive
고무된,Positive
고민,Negative
